OTU ID	taxonomy	Taxon	Taxon Level	Trophic Mode	Guild	Growth Morphology	Trait	Confidence Ranking	Notes	Citation/Source
New.CleanUp.ReferenceOTU100172	Letrouitia_domingensis|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Letrouitiaceae;g__Letrouitia;s__Letrouitia_domingensis	Letrouitia	13	Symbiotroph	Lichenized	Thallus	NULL	Highly Probable	NULL	Esslinger TL. 2014. North Dakota State University (http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm)
New.CleanUp.ReferenceOTU1002998	Pythium_aristosporum|p__SAR;c__Stramenopiles;o__Peronosporomycetes;f__Pythium;g__Pythium aristosporum;s__Pythium_aristosporum	Pythium	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	NULL	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
New.CleanUp.ReferenceOTU1003703	uncultured_Boletaceae|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Tremellomycetes;g__Tremellales;s__uncultured_Boletaceae	Tremellales	7	Pathotroph-Saprotroph-Symbiotroph	Fungal Parasite-Undefined Saprotroph	Tremelloid-Yeast	NULL	Possible	The order contains both teleomorphic and anamorphic species, most of the latter being yeasts	Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158
New.CleanUp.ReferenceOTU1005017	uncultured_Sporidiobolales|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Incertae Sedis;g__Sporobolomyces;s__uncultured_Sporidiobolales	Sporobolomyces	13	Pathotroph-Saprotroph	Fungal Parasite-Litter Saprotroph	Yeast	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:1256688; Nagy GL, et al. 2014. Nature Communications 5:4471; Purahong W, et al. 2016. Molecular Ecology 25:4059-4074
New.CleanUp.ReferenceOTU1006608	Mortierella_alpina|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Incertae Sedis;g__Mortierellales;s__Mortierella_alpina	Mortierella	13	Saprotroph-Symbiotroph	Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph	Microfungus	NULL	Probable	Saprobic in soil and thus frequenctly isolated from soil and material contaminated with soil such as hay or rotten silage and spoil tips (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; Tedersoo L, et al. 2014. Science 346:1256688; Purahong W, et al. 2016. Molecular Ecology 25:4059-407
New.CleanUp.ReferenceOTU1007508	Olpidium_brassicae|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Olpidiaceae;g__Olpidium;s__Olpidium_brassicae	Olpidiaceae	9	Pathotroph	Animal Parasite-Fungal Parasite	NULL	NULL	Probable	Parasitic on algae, fungi, mosses, pollen grains and vegetative tissues of flowering and crop plants	Devasahayam HL, Henry LDC. 2009. Illustrated Plant Pathology: Basic Concepts, New India Publishing, New Delhi
New.CleanUp.ReferenceOTU1009253	cf_Phoma_sp_HY-2004|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Dothideomycetes;g__Pleosporales;s__cf_Phoma_sp_HY-2004	Phoma	13	Pathotroph-Saprotroph-Symbiotroph	Endophyte-Dung Saprotroph-Lichen Parasite-Litter Saprotroph-Plant Pathogen-Soil Saprotroph-Wood Saprotroph	Microfungus	Soft Rot	Possible	NULL	Richardson MJ. 1972. Transactions of the British Mycological Society 58:37-48; Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; de Gruyter J, et al. 2010. Mycologia. 102:1066-1081; Costa IPMW, et al. 2012. Mycotaxon 119:26; Tedersoo L, et al. 2014. Science 346:1256688; Lawrey JD, Diederich P. 2016. URL: http://www.lichenicolous.net [24 May 2017]; Purahong W, et al. 2016. Molecular Ecology 25:4059-4074
New.CleanUp.ReferenceOTU1011065	uncultured_eukaryote|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Tremellomycetes;g__Tremellales;s__uncultured_eukaryote	Tremellales	7	Pathotroph-Saprotroph-Symbiotroph	Fungal Parasite-Undefined Saprotroph	Tremelloid-Yeast	NULL	Possible	The order contains both teleomorphic and anamorphic species, most of the latter being yeasts	Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158
New.CleanUp.ReferenceOTU1012682	Rhizophydium_sp_JEL136|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Chytridiomycetes;g__Rhizophlyctidales;s__Rhizophydium_sp_JEL136	Rhizophydium	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	NULL	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
New.CleanUp.ReferenceOTU1013072	Pythium_violae|p__SAR;c__Stramenopiles;o__Peronosporomycetes;f__Pythium;g__Pythium violae;s__Pythium_violae	Pythium	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	NULL	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
New.CleanUp.ReferenceOTU1017761	uncultured_eukaryote|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Ascobolaceae;g__uncultured;s__uncultured_eukaryote	Ascobolaceae	9	Saprotroph	Dung Saprotroph-Soil Saprotroph-Wood Saprotrop	NULL	NULL	Probable	NULL	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge
