,Treatment,Genus,Phylum,N,Abundance,sd,se,ci,Response_to_urea,Response_to_Inhibitors
241,Positive Control,Subgroup 6,Acidobacteria,18,2.111111111,1.022619985,0.241033842,0.508536955,Negative,Stimulated
242,Antifungal,Subgroup 6,Acidobacteria,17,2.235294118,1.147247345,0.278248352,0.589860156,Negative,Stimulated
243,Antibacterial+Antifungal,Subgroup 6,Acidobacteria,19,3.263157895,1.326738074,0.304374589,0.639467283,Negative,Stimulated
244,Antibacterial,Subgroup 6,Acidobacteria,21,4.333333333,3.864367132,0.843274043,1.759038829,Negative,Stimulated
245,Negative Control,Subgroup 6,Acidobacteria,20,32.9,9.781292563,2.187163508,4.577785833,Negative,Stimulated
106,Negative Control,Kocuria sp. PK-11,Actinobacteria,20,0.15,0.366347549,0.081917802,0.17145593,Positive,Stimulated
107,Positive Control,Kocuria sp. PK-11,Actinobacteria,18,5.5,4.287464629,1.010565104,2.132106,Positive,Stimulated
108,Antibacterial+Antifungal,Kocuria sp. PK-11,Actinobacteria,19,5.789473684,3.376042183,0.774517195,1.627200245,Positive,Stimulated
109,Antibacterial,Kocuria sp. PK-11,Actinobacteria,21,7.238095238,8.067866892,1.760552892,3.67244898,Positive,Stimulated
110,Antifungal,Kocuria sp. PK-11,Actinobacteria,17,35,35.09451524,8.511670189,18.04393474,Positive,Stimulated
11,Negative Control,Adhaeribacter,Bacteroidetes,40,0.1,0.30382181,0.048038446,0.097166929,Positive,Inhibited
12,Antifungal,Adhaeribacter,Bacteroidetes,34,3.117647059,4.847771784,0.831386002,1.691467539,Positive,Inhibited
13,Antibacterial+Antifungal,Adhaeribacter,Bacteroidetes,38,3.605263158,5.206749641,0.844646326,1.71141602,Positive,Inhibited
14,Antibacterial,Adhaeribacter,Bacteroidetes,42,8.476190476,12.4493865,1.920982041,3.879501936,Positive,Inhibited
15,Positive Control,Adhaeribacter,Bacteroidetes,36,32.83333333,44.68972397,7.448287328,15.12082716,Positive,Inhibited
21,Negative Control,Arcticibacter,Bacteroidetes,40,0.275,0.554122082,0.087614394,0.177216839,Positive,Inhibited
22,Antifungal,Arcticibacter,Bacteroidetes,34,40.82352941,41.03617812,7.037646487,14.31819944,Positive,Inhibited
23,Antibacterial,Arcticibacter,Bacteroidetes,42,50.5952381,57.90827883,8.935441414,18.04549003,Positive,Inhibited
24,Antibacterial+Antifungal,Arcticibacter,Bacteroidetes,38,61.89473684,81.25461799,13.1812396,26.70772834,Positive,Inhibited
25,Positive Control,Arcticibacter,Bacteroidetes,36,79.83333333,83.28556726,13.88092788,28.17978173,Positive,Inhibited
56,Negative Control,Chitinophagaceae,Bacteroidetes,80,43.0375,43.48241133,4.861481378,9.67653663,Positive,Inhibited
57,Antifungal,Chitinophagaceae,Bacteroidetes,68,49.61764706,97.32083108,11.8018843,23.55665965,Positive,Inhibited
58,Antibacterial,Chitinophagaceae,Bacteroidetes,84,52.3452381,91.15331901,9.945642482,19.78148288,Positive,Inhibited
59,Antibacterial+Antifungal,Chitinophagaceae,Bacteroidetes,76,57.14473684,107.9254933,12.37990313,24.66203168,Positive,Inhibited
60,Positive Control,Chitinophagaceae,Bacteroidetes,72,67.20833333,121.0133199,14.26155652,28.43673603,Positive,Inhibited
86,Negative Control,Flavobacterium,Bacteroidetes,40,11.75,12.51819189,1.979299928,4.003511992,Positive,Inhibited
87,Antibacterial,Flavobacterium,Bacteroidetes,42,23.66666667,39.0269867,6.021994787,12.1616652,Positive,Inhibited
88,Antifungal,Flavobacterium,Bacteroidetes,34,27.23529412,53.66171189,9.202907665,18.72345643,Positive,Inhibited
89,Antibacterial+Antifungal,Flavobacterium,Bacteroidetes,38,38.47368421,66.97992311,10.86557831,22.01575289,Positive,Inhibited
90,Positive Control,Flavobacterium,Bacteroidetes,36,94.86111111,113.6310201,18.93850335,38.4472058,Positive,Inhibited
131,Antibacterial,Myroides,Bacteroidetes,21,0,0,0,0,Positive,Inhibited
132,Antibacterial+Antifungal,Myroides,Bacteroidetes,19,0,0,0,0,Positive,Inhibited
