,OTU,D530E11,D510E1,D205A2,D630G3,D630G2,D230B2,D305B6,D530E12,D330C4,D630G1,D405C7,D205A1,D730H6,D510E2,D310B8,D210A4,D725H1,D625F10,D405C9,D815A3,D310B7,D405C8,D530E10,D705G4,D225A11,D325C2,D305B4,D325C1,D225A10,D815A1,D205A3,D815A2,D325C3,D415D2,D305B5,D415D3,D825A4,D725H3,D415D1,D715G11,D515E4,D315B10,D715G10,D525E8,D615F7,D525E7,D710G8,D825A6,D505D12,D615F8,D715G12,D725H2,D510E3,D625F11,D805H7,D525E9,D705G6,D610F6,D705G5,D710G9,D625F12,D515E6,D410C11,D215A8,D710G7,D805H9,D810H11,D605F1,D605F2,D215A9,D315B12,D805H8,D425D6,D215A7,D810H10,D410C10,D515E5,D505D11,D230B3,D830A8,D230B1,D730H4,D330C5,D605F3,D430D7,D330C6,D425D4,D830A7,D730H5,D830A9,D210A6,D430D9,D210A5,D810H12,D505D10,Kingdom,Phylum,Class,Order,Family,Genus,Species
KF064625.1.1363,KF064625.1.1363,0,0.134453782,0,0,0,0,0.069158879,0,0,0,0.039832285,0,0,0.023391813,0.022421525,0,0.009419152,0.109311741,0.068548387,0.060194175,0.02173913,0.081037277,0,0.023961661,0,0.030351438,0.013975155,0.01843318,0,0.012893983,0,0.048327138,0.014563107,0.332467532,0.037606838,0.248101266,0.028627838,0.011851852,0.054229935,0.096224117,0.11440678,0.062937063,0.069053708,0.065068493,0.099173554,0.046370968,0.06206089,0.014677104,0.069977427,0.088709677,0.081225033,0.0112,0.060869565,0.084393064,0.020887728,0.07734057,0.032876712,0.125,0.024539877,0.040816327,0.117514124,0.175257732,0.144278607,0.02,0.032154341,0.021126761,0.09015025,0.057692308,0.09383378,0.018867925,0.086956522,0.011267606,0.089084065,0,0.0651341,0.071428571,0.147601476,0.037220844,0,0,0,0,0,0.112440191,0,0,0.050955414,0,0,0,0,0,0,0.041666667,0.020547945,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Flavisolibacter,NA
JF203596.1.1349,JF203596.1.1349,0,0,0.015873016,0,0,0,0.001869159,0,0,0,0,0.014925373,0,0,0.004484305,0,0.018838305,0.076923077,0.002016129,0.025242718,0,0,0,0.011182109,0.023498695,0.009584665,0.001552795,0.00921659,0.023738872,0.008595989,0.029411765,0.022304833,0.006472492,0.007792208,0.001709402,0.002531646,0.009871668,0.026666667,0,0.038976857,0,0,0.040920716,0.02283105,0,0.014112903,0.042154567,0.014677104,0.002257336,0,0.046604527,0.0272,0,0.131791908,0.033942559,0.03256445,0.01369863,0,0.013803681,0.052478134,0.123163842,0,0.004975124,0.02,0.046623794,0.03286385,0.015025042,0,0,0,0,0.025352113,0.012547051,0,0.017241379,0,0,0,0,0,0,0,0,0,0,0.023809524,0.01656051,0,0,0,0,0,0.0078125,0.017045455,0,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
KF179222.1.1257,KF179222.1.1257,0,0.012605042,0,0,0,0,0.005607477,0,0,0,0.081761006,0,0,0.002923977,0.049327354,0,0.103610675,0.029689609,0.046370968,0.050485437,0.008695652,0.017828201,0,0.052715655,0,0.003194888,0.00310559,0.004608295,0,0.010028653,0,0.018587361,0.004854369,0.007792208,0.006837607,0.002531646,0.067127345,0.099259259,0,0.007308161,0.025423729,0,0.008951407,0.011415525,0.016528926,0.094758065,0.042154567,0.014677104,0.076749436,0.02016129,0.011984021,0.1056,0,0.023121387,0.036553525,0.029850746,0.043835616,0.032894737,0.06595092,0.013119534,0.02259887,0.003436426,0.009950249,0,0.019292605,0.03286385,0.011686144,0.101648352,0.115281501,0,0,0.029577465,0.016311167,0,0.013409962,0.004761905,0.007380074,0.126550868,0,0,0,0,0,0.210526316,0,0,0.026751592,0,0,0,0,0,0,0.070075758,0.052511416,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Plantactinospora,NA
KP214609.6.1239,KP214609.6.1239,0,0.067226891,0.031746032,0,0,0,0.168224299,0,0.027777778,0,0.050314465,0.014925373,0,0.078947368,0.040358744,0.025210084,0.065934066,0.091767881,0.034274194,0.042718447,0.1,0.024311183,0,0.084664537,0.208877285,0.036741214,0.121118012,0.086021505,0.24925816,0.037249284,0.029411765,0.040892193,0.056634304,0.044155844,0.133333333,0.048101266,0.086870681,0.053333333,0.054229935,0.077953715,0.029661017,0.048951049,0.069053708,0.108447489,0.066115702,0.130040323,0.018735363,0.083170254,0.009029345,0.032258065,0.057256991,0.0576,0.1,0.089017341,0.065274151,0.08412483,0.039726027,0.203947368,0.075153374,0.042274052,0.063276836,0.020618557,0.069651741,0.24,0.02733119,0.079812207,0.030050083,0.085164835,0.08847185,0.320754717,0.050724638,0.083098592,0.094102886,0.29787234,0.013409962,0.061904762,0.029520295,0.012406948,0,0,0.029411765,0,0,0.131578947,0,0,0.085350318,0,0,0,0.007518797,0,0.015625,0.073863636,0.006849315,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,NA
AY218593.1.1488,AY218593.1.1488,0,0,0,0,0,0,0,0,0,0,0.002096436,0,0,0,0,0,0.083202512,0.008097166,0.004032258,0.163106796,0,0.001620746,0,0.020766773,0,0,0.001552795,0,0,0.134670487,0,0.159851301,0,0.002597403,0,0.005063291,0.335636723,0.075555556,0,0.03045067,0.004237288,0.006993007,0.02685422,0.002283105,0.005509642,0.001008065,0.092505855,0.339530333,0.004514673,0.002016129,0.037283622,0.0848,0,0.009248555,0.446475196,0.002713704,0.019178082,0.003289474,0.024539877,0.090379009,0.009039548,0.017182131,0,0,0.083601286,0.388497653,0.101836394,0.002747253,0,0,0,0.433802817,0.001254705,0,0.105363985,0.004761905,0.003690037,0,0,0,0,0,0.032258065,0,0,0,0.001273885,0,0,0,0,0,0,0.083333333,0,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Chitinophagaceae,NA
FJ946553.1.1290,FJ946553.1.1290,0,0.016806723,0,0,0.024390244,0.033333333,0.001869159,0,0,0,0.012578616,0,0,0,0.022421525,0,0.026687598,0.014844804,0.02016129,0.019417476,0.008695652,0.016207455,0,0.038338658,0.219321149,0.119808307,0.00310559,0.098310292,0.222551929,0.010028653,0,0.014869888,0.100323625,0.007792208,0.003418803,0.005063291,0.088845015,0.059259259,0.006507592,0.012180268,0.008474576,0.041958042,0.012787724,0.058219178,0.03030303,0.075604839,0.06323185,0.091976517,0.018058691,0.006048387,0.010652463,0.0304,0.008695652,0.015028902,0.027415144,0.074626866,0.042465753,0.003289474,0.033742331,0.081632653,0.015819209,0.010309278,0.009950249,0.02,0.061093248,0.018779343,0.001669449,0.005494505,0.008042895,0,0.036231884,0.030985915,0.048933501,0,0.005747126,0.014285714,0.003690037,0.009925558,0.03125,0,0.029411765,0,0,0.007177033,0,0.023809524,0.056050955,0,0,0.021276596,0,0,0,0.003787879,0.00913242,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,NA
KP183072.1.1501,KP183072.1.1501,0,0.012605042,0.015873016,0,0,0,0.007476636,0,0,0,0.004192872,0,0,0.011695906,0.00896861,0.008403361,0.007849294,0.006747638,0.008064516,0.036893204,0.004347826,0.006482982,0,0.003194888,0.206266319,0.009584665,0.001552795,0.004608295,0.130563798,0.012893983,0.014705882,0.026022305,0.004854369,0.012987013,0.005128205,0.017721519,0.01875617,0.005925926,0.004338395,0.006090134,0.050847458,0.013986014,0.020460358,0.00456621,0.022038567,0.002016129,0.007025761,0.026418787,0.004514673,0.006048387,0.005326232,0.008,0.008695652,0.009248555,0.003916449,0.002713704,0.006849315,0.003289474,0.004601227,0.00728863,0.004519774,0.058419244,0.029850746,0.02,0.008038585,0.003521127,0.013355593,0.002747253,0.002680965,0.037735849,0.014492754,0.004225352,0.003764115,0.042553191,0.009578544,0.014285714,0.077490775,0.007444169,0,0,0,0,0,0.002392344,0,0,0.001273885,0,0,0,0.007518797,0,0.0078125,0.007575758,0.00456621,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Rhodocyclaceae,NA
LN564230.1.1370,LN564230.1.1370,0,0.466386555,0.047619048,0.028571429,0,0,0.293457944,0,0.027777778,0,0.205450734,0.089552239,0,0.242690058,0.3632287,0,0.03610675,0.209176788,0.191532258,0.122330097,0.456521739,0.14910859,0.026315789,0.103833866,0.107049608,0.223642173,0.204968944,0.12749616,0.12462908,0.064469914,0.073529412,0.128252788,0.098705502,0.272727273,0.312820513,0.42278481,0.055281343,0.032592593,0.464208243,0.183922046,0.483050847,0.41958042,0.208439898,0.273972603,0.520661157,0.319556452,0.110070258,0.04109589,0.325056433,0.733870968,0.181091877,0.0416,0.417391304,0.246242775,0.060052219,0.297150611,0.115068493,0.358552632,0.096625767,0.093294461,0.266666667,0.501718213,0.323383085,0,0.109324759,0.045774648,0.140233723,0.387362637,0.324396783,0.018867925,0.427536232,0.043661972,0.164366374,0,0.12835249,0.50952381,0.442804428,0.421836228,0.03125,0,0,0.083333333,0,0.229665072,0.022222222,0,0.313375796,0,0.03030303,0.042553191,0,0.057142857,0,0.142045455,0.372146119,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Arcticibacter,NA
HM438418.1.1491,HM438418.1.1491,0,0.042016807,0,0,0,0,0.145794393,0,0,0,0.048218029,0,0,0.497076023,0.031390135,0,0.113029827,0.066126856,0.012096774,0.033009709,0.026086957,0.04376013,0,0.079872204,0.026109661,0.022364217,0.293478261,0.046082949,0.035608309,0.061604585,0.014705882,0.072490706,0.040453074,0.023376623,0.229059829,0.02278481,0.063178677,0.108148148,0.078091106,0.068209501,0.06779661,0.118881119,0.066496164,0.011415525,0.019283747,0.006048387,0.072599532,0.105675147,0.0248307,0.004032258,0.086551265,0.0992,0.173913043,0.052023121,0.077023499,0.018995929,0.030136986,0.049342105,0.038343558,0.042274052,0.032768362,0.041237113,0.054726368,0,0.064308682,0.174882629,0.030050083,0.07967033,0.104557641,0.056603774,0.079710145,0.094366197,0.007528231,0.085106383,0.044061303,0.042857143,0.040590406,0.017369727,0,0,0,0,0,0.057416268,0,0,0.005095541,0,0,0,0,0,0,0.017045455,0.075342466,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas,NA
GQ263406.1.1462,GQ263406.1.1462,0,0.012605042,0,0,0,0,0,0,0,0,0.006289308,0,0,0.002923977,0,0,0.018838305,0,0.006048387,0.001941748,0,0.004862237,0,0.006389776,0,0.001597444,0,0.001536098,0,0.001432665,0.029411765,0.003717472,0.001618123,0,0,0,0,0.026666667,0,0.018270402,0,0,0.023017903,0.003424658,0,0.002016129,0.007025761,0.000978474,0.013544018,0,0.013315579,0.0224,0.004347826,0.001156069,0.020887728,0.009497965,0.005479452,0,0.006134969,0.005830904,0,0,0,0,0.004823151,0.023474178,0.033388982,0,0,0,0,0.01971831,0.001254705,0,0.03256705,0,0,0.024813896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034090909,0.052511416,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Parapedobacter,NA
