"","Treatment","Genus","Phylum","N","Abundance","sd","se","ci"
"1","Negative Control","Achromobacter","Betaproteobacteria",20,0,0,0,0
"2","Antibacterial","Achromobacter","Betaproteobacteria",21,0.0952380952380952,0.300792603759119,0.0656383273909058,0.136919151677099
"3","Positive Control","Achromobacter","Betaproteobacteria",18,0.111111111111111,0.323380833381777,0.0762215933966706,0.160813505115573
"4","Antibacterial+Antifungal","Achromobacter","Betaproteobacteria",19,3.42105263157895,5.64028948699231,1.29397115190076,2.71853251246438
"5","Antifungal","Achromobacter","Betaproteobacteria",17,10.5882352941176,16.4357036034718,3.98624364637995,8.45045902994791
"6","Negative Control","Adhaeribacter","Bacteroidetes",20,0.2,0.410391340834062,0.0917662935482247,0.192069059780328
"7","Antifungal","Adhaeribacter","Bacteroidetes",17,5.82352941176471,5.69248730913876,1.38063096753336,2.92680690434294
"8","Antibacterial+Antifungal","Adhaeribacter","Bacteroidetes",19,6.73684210526316,5.88635055080969,1.35042143143339,2.83713014891226
"9","Antibacterial","Adhaeribacter","Bacteroidetes",21,15.4285714285714,14.5793395891975,3.18147272618877,6.63643581530305
"10","Positive Control","Adhaeribacter","Bacteroidetes",18,60.3333333333333,49.9434974864243,11.771795249608,24.8363169966871
"11","Negative Control","AKYG937","Alphaproteobacteria",20,0.15,0.366347548532523,0.0819178021909125,0.171455930469842
"12","Antifungal","AKYG937","Alphaproteobacteria",17,83.5294117647059,71.751409086389,17.402272850005,36.8911704332197
"13","Antibacterial+Antifungal","AKYG937","Alphaproteobacteria",19,107.315789473684,70.9562092119569,16.2784708090342,34.1997981041203
"14","Positive Control","AKYG937","Alphaproteobacteria",18,144.888888888889,122.6452986504,28.9077741187823,60.9900721562937
"15","Antibacterial","AKYG937","Alphaproteobacteria",21,191.619047619048,145.673084744738,31.7884732171657,66.3095931753975
"16","Negative Control","Arcticibacter","Bacteroidetes",20,0,0,0,0
"17","Antibacterial","Arcticibacter","Bacteroidetes",21,9.09523809523809,6.12294669178788,1.3361365091094,2.78713191855962
"18","Antibacterial+Antifungal","Arcticibacter","Bacteroidetes",19,9.78947368421053,6.23234348083912,1.42979765339012,3.00389340309222
"19","Antifungal","Arcticibacter","Bacteroidetes",17,10.5294117647059,11.3364326788612,2.74948878544992,5.8286558464247
"20","Positive Control","Arcticibacter","Bacteroidetes",18,32.2777777777778,16.0945937417637,3.79353212508122,8.00365317250749
"21","Negative Control","Bosea","Alphaproteobacteria",20,0,0,0,0
"22","Antibacterial+Antifungal","Bosea","Alphaproteobacteria",19,2.26315789473684,1.40799720892865,0.32301671297407,0.678632931653436
"23","Antifungal","Bosea","Alphaproteobacteria",17,2.52941176470588,1.32842232831014,0.322189739708921,0.683011736563659
"24","Positive Control","Bosea","Alphaproteobacteria",18,3.61111111111111,4.55216676124922,1.07295599532378,2.26373927326375
"25","Antibacterial","Bosea","Alphaproteobacteria",21,6.61904761904762,7.09560561528183,1.54838808731346,3.22988095231779
"26","Negative Control","Cohnella","Firmicutes",20,0,0,0,0
"27","Antibacterial+Antifungal","Cohnella","Firmicutes",19,3.47368421052632,4.42679243110293,1.01557583427413,2.13364565376269
"28","Antifungal","Cohnella","Firmicutes",17,5.35294117647059,7.16712264851269,1.73828257126908,3.68499443437728
"29","Antibacterial","Cohnella","Firmicutes",21,6.61904761904762,6.28868977193334,1.37230461437996,2.86257726411087
"30","Positive Control","Cohnella","Firmicutes",18,12.7222222222222,12.0284249399474,2.83512694734339,5.9815949986401
"31","Positive Control","DA101 soil group","Verrucomicrobia",18,3.44444444444444,1.72259114749784,0.406018627202545,0.856624424562428
"32","Antibacterial","DA101 soil group","Verrucomicrobia",21,5.57142857142857,3.6134668750582,0.788523117912844,1.6448304012903
"33","Negative Control","DA101 soil group","Verrucomicrobia",20,9.65,5.00815125044845,1.11985666376033,2.34388693473981
"34","Antifungal","DA101 soil group","Verrucomicrobia",17,13.3529411764706,6.5948955305466,1.59949710955044,3.39078239862505
"35","Antibacterial+Antifungal","DA101 soil group","Verrucomicrobia",19,19.6842105263158,8.0073066048658,1.83700212108188,3.85939824415047
"36","Negative Control","Flavobacterium","Bacteroidetes",20,0.05,0.223606797749979,0.05,0.104651202720415
