,Domain,Phylum,Class,Order,Family,Genus,Species,OTU
FN563268.1.1434,Bacteria,Betaproteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans subsp. xylosoxidans,FN563268.1.1434
HQ015446.1.1501,Bacteria,Betaproteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,uncultured bacterium,HQ015446.1.1501
GQ500734.1.1500,Bacteria,Gammaproteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadales Incertae Sedis,Acidibacter,uncultured bacterium,GQ500734.1.1500
JN037898.1.1484,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Adhaeribacter,Ambiguous_taxa,JN037898.1.1484
New.ReferenceOTU300,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Adhaeribacter,Ambiguous_taxa,New.ReferenceOTU300
GU359072.1.1474,Bacteria,Acidobacteria,Subgroup 6,Ambiguous_taxa,Ambiguous_taxa,unc_Acidobacteria,Ambiguous_taxa,GU359072.1.1474
HM134879.1.1286,Bacteria,Alphaproteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,unc_Phyllobacteriaceae,Ambiguous_taxa,HM134879.1.1286
New.ReferenceOTU625,Bacteria,Alphaproteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,unc_Rickettsiales,Ambiguous_taxa,New.ReferenceOTU625
LN561400.1.1384,Bacteria,Betaproteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,unc_Alcaligenaceae,Ambiguous_taxa,LN561400.1.1384
LN561397.1.1385,Bacteria,Betaproteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,unc_Alcaligenaceae,uncultured bacterium,LN561397.1.1385
GU359101.1.1467,Bacteria,Gammaproteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,unc_Xanthomonadaceae,Ambiguous_taxa,GU359101.1.1467
AB672158.1.1427,Bacteria,Planctomycetes,Phycisphaerae,Tepidisphaerales,Tepidisphaeraceae,unc_Tepidisphaeraceae,Ambiguous_taxa,AB672158.1.1427
EU335316.1.1528,Bacteria,Verrucomicrobia,Spartobacteria,Chthoniobacterales,DA101 soil group,DA101 soil group,Ambiguous_taxa,EU335316.1.1528
AB364862.1.1480,Bacteria,Verrucomicrobia,OPB35 soil group,Ambiguous_taxa,Ambiguous_taxa,OPB35 soil group,Ambiguous_taxa,AB364862.1.1480
LN564230.1.1370,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Arcticibacter,uncultured bacterium,LN564230.1.1370
New.ReferenceOTU1244,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Arcticibacter,Ambiguous_taxa,New.ReferenceOTU1244
FJ936965.1.1497,Bacteria,Gammaproteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Arenimonas,Ambiguous_taxa,FJ936965.1.1497
JX515427.1.1448,Bacteria,Alphaproteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Azospirillum,uncultured bacterium,JX515427.1.1448
HG964478.1.1519,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Ambiguous_taxa,HG964478.1.1519
New.CleanUp.ReferenceOTU442015,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. BA315,New.CleanUp.ReferenceOTU442015
GQ202671.1.1419,Bacteria,Alphaproteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bosea,uncultured bacterium,GQ202671.1.1419
JQ014293.1.1229,Bacteria,Alphaproteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bosea,Ambiguous_taxa,JQ014293.1.1229
KP214609.6.1239,Bacteria,Alphaproteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Ambiguous_taxa,KP214609.6.1239
KJ848558.1.1372,Bacteria,Alphaproteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,uncultured alpha proteobacterium,KJ848558.1.1372
FJ950569.1.1333,Bacteria,Alphaproteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Ambiguous_taxa,FJ950569.1.1333
New.ReferenceOTU808,Bacteria,Verrucomicrobia,Spartobacteria,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,uncultured bacterium,New.ReferenceOTU808
GQ355279.1.1379,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Cohnella,Paenibacillus sp. TA_AM2,GQ355279.1.1379
GQ140329.1.1452,Bacteria,Betaproteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Delftia,uncultured Delftia sp.,GQ140329.1.1452
JQ426393.1.1438,Bacteria,Alphaproteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia,Ambiguous_taxa,JQ426393.1.1438
EF018117.1.1372,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Ambiguous_taxa,EF018117.1.1372
EF451601.1.1234,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,uncultured bacterium,EF451601.1.1234
FJ947138.1.1499,Bacteria,Betaproteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,Hydrogenophaga taeniospiralis,FJ947138.1.1499
FJ907957.1.1453,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Kocuria sp. PK-11,Kocuria sp. PK-11,FJ907957.1.1453
HM438418.1.1491,Bacteria,Gammaproteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas,uncultured Xanthomonas sp.,HM438418.1.1491
EF018241.1.1387,Bacteria,Gammaproteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,uncultured proteobacterium,EF018241.1.1387
JF740044.1.1280,Bacteria,Betaproteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,uncultured beta proteobacterium,JF740044.1.1280
KJ454153.1.1462,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Myroides,uncultured bacterium,KJ454153.1.1462
New.CleanUp.ReferenceOTU424992,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Oceanobacillus,Ambiguous_taxa,New.CleanUp.ReferenceOTU424992
GU731289.1.1407,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,bacterium enrichment culture clone heteroB15_4W,GU731289.1.1407
JN872522.1.1514,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus sp. SAP01_3,JN872522.1.1514
KT720304.1.1402,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus rigui,KT720304.1.1402
New.ReferenceOTU848,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Ambiguous_taxa,New.ReferenceOTU848
New.ReferenceOTU413,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Ambiguous_taxa,New.ReferenceOTU413
New.ReferenceOTU18,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,bacterium enrichment culture clone heteroB15_4W,New.ReferenceOTU18
New.ReferenceOTU170,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,uncultured Paenibacillus sp.,New.ReferenceOTU170
New.ReferenceOTU755,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus cavernae,New.ReferenceOTU755
New.ReferenceOTU75,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,uncultured Paenibacillus sp.,New.ReferenceOTU75
New.ReferenceOTU309,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,uncultured bacterium,New.ReferenceOTU309
New.ReferenceOTU1294,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Ambiguous_taxa,New.ReferenceOTU1294
New.CleanUp.ReferenceOTU376440,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus ripae,New.CleanUp.ReferenceOTU376440
New.ReferenceOTU198,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Parasegetibacter,uncultured bacterium,New.ReferenceOTU198
HM265495.1.1353,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,uncultured Bacteroidetes bacterium,HM265495.1.1353
JX222634.1.1483,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Ambiguous_taxa,JX222634.1.1483
FM865640.1.1411,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,uncultured Bacteroidetes bacterium,FM865640.1.1411
FJ946553.1.1290,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Ambiguous_taxa,FJ946553.1.1290
HM128586.1.1444,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,uncultured Bacteroidetes bacterium,HM128586.1.1444
GU138374.1.1443,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Ambiguous_taxa,GU138374.1.1443
FJ979862.1.1379,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,uncultured Bacteroidetes bacterium,FJ979862.1.1379
HM238113.1.1445,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,uncultured Sphingobacteriia bacterium,HM238113.1.1445
GU731267.1.1381,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Ambiguous_taxa,GU731267.1.1381
New.ReferenceOTU292,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Ambiguous_taxa,New.ReferenceOTU292
New.ReferenceOTU588,Bacteria,Alphaproteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,Ambiguous_taxa,New.ReferenceOTU588
FJ903180.1.1401,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Pontibacter,Ambiguous_taxa,FJ903180.1.1401
JX133320.1.1527,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Pseudogracilibacillus,uncultured bacterium,JX133320.1.1527
New.ReferenceOTU707,Bacteria,Gammaproteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas,Ambiguous_taxa,New.ReferenceOTU707
New.ReferenceOTU1130,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Psychrobacillus,Ambiguous_taxa,New.ReferenceOTU1130
HQ178724.1.1455,Bacteria,Betaproteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Simplicispira,uncultured bacterium,HQ178724.1.1455
FR746082.1.1413,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Solibacillus,uncultured bacterium,FR746082.1.1413
FJ941080.1.1285,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,Ambiguous_taxa,FJ941080.1.1285
KT347098.1.1444,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium sp. MIMdw12,Sphingobacterium sp. MIMdw12,KT347098.1.1444
JN023179.1.1439,Bacteria,Alphaproteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingosinicella cucumeris,JN023179.1.1439
HM438300.1.1435,Bacteria,Alphaproteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,uncultured bacterium,HM438300.1.1435
FN811195.1.1455,Bacteria,Alphaproteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Ambiguous_taxa,FN811195.1.1455
HM278679.1.1376,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Sporosarcina,uncultured bacterium,HM278679.1.1376
GU591162.1.1448,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Sporosarcina,uncultured bacterium,GU591162.1.1448
New.CleanUp.ReferenceOTU73734,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Thermobacillus,uncultured bacterium,New.CleanUp.ReferenceOTU73734
GU179691.1.1336,Bacteria,Alphaproteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,unc_Caulobacteraceae,uncultured Caulobacteraceae bacterium,GU179691.1.1336
KJ192082.1.1494,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,unc_Chitinophagaceae,uncultured Chitinophagaceae bacterium,KJ192082.1.1494
HQ119853.1.1473,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,unc_Chitinophagaceae,Ambiguous_taxa,HQ119853.1.1473
JF776919.1.1448,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,unc_Saprospiraceae,uncultured bacterium,JF776919.1.1448
