Domain,Phylum,Class,Order,Family,Genus,Species,OTU
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Kocuria ,Kocuria sp. PK-11,FJ907957.1.1453
Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium sp. MIMdw12,Sphingobacterium sp. MIMdw12,KT347098.1.1444
Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,unc_Cytophagaceae,uncultured bacterium,JF703570.1.1428
Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Adhaeribacter,Ambiguous_taxa,JN037898.1.1484
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,uncultured bacterium,EF451601.1.1234
Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Ambiguous_taxa,FJ946553.1.1290
Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Ambiguous_taxa,GU138374.1.1443
Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Ambiguous_taxa,AB074637.1.1315
Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,uncultured Sphingobacteriia bacterium,HM238113.1.1445
Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Ambiguous_taxa,GU731267.1.1381
Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Ambiguous_taxa,New.ReferenceOTU292
Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Arcticibacter,Ambiguous_taxa,New.ReferenceOTU1244
Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Parasegetibacter,uncultured bacterium,New.ReferenceOTU601
Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Adhaeribacter,Ambiguous_taxa,New.ReferenceOTU300
