,Treatment,Genus,Phylum,N,Abundance,sd,se,ci,Response_to_urea,Response_to_Inhibitors
1,Antibacterial+Antifungal,Brachyconidiellopsis,Opisthokonta,21,0.047619048,0.21821789,0.047619048,0.099331593,Positive,Stimulated
2,Negative Control,Brachyconidiellopsis,Opisthokonta,21,0.047619048,0.21821789,0.047619048,0.099331593,Positive,Stimulated
3,Antifungal,Brachyconidiellopsis,Opisthokonta,21,0.428571429,0.810643483,0.176896911,0.36900049,Positive,Stimulated
4,Positive Control,Brachyconidiellopsis,Opisthokonta,18,1.222222222,1.165966176,0.274820863,0.579821338,Positive,Stimulated
5,Antibacterial,Brachyconidiellopsis,Opisthokonta,21,3.095238095,4.979003534,1.086507647,2.266415236,Positive,Stimulated
6,Antibacterial+Antifungal,Nectria,Opisthokonta,21,0,0,0,0,Positive,Stimulated
7,Negative Control,Nectria,Opisthokonta,21,0,0,0,0,Positive,Stimulated
8,Antifungal,Nectria,Opisthokonta,21,0.095238095,0.300792604,0.065638327,0.136919152,Positive,Stimulated
9,Positive Control,Nectria,Opisthokonta,18,0.166666667,0.383482494,0.090387691,0.190701358,Positive,Stimulated
10,Antibacterial,Nectria,Opisthokonta,21,3.380952381,8.754862594,1.910467645,3.985165674,Positive,Stimulated
11,Antifungal,unc_Ascobolaceae,Opisthokonta,21,0.285714286,0.956182887,0.208656212,0.435249232,Negative,Stimulated
12,Antibacterial+Antifungal,unc_Ascobolaceae,Opisthokonta,21,0.619047619,2.836832573,0.619047619,1.291310705,Negative,Stimulated
13,Positive Control,unc_Ascobolaceae,Opisthokonta,18,3.833333333,8.190740827,1.930576127,4.073159587,Negative,Stimulated
14,Negative Control,unc_Ascobolaceae,Opisthokonta,21,6.142857143,7.377572191,1.609918239,3.358230599,Negative,Stimulated
15,Antibacterial,unc_Ascobolaceae,Opisthokonta,21,51.66666667,128.609616,28.06491907,58.54239534,Negative,Stimulated
16,Antibacterial+Antifungal,unc_Helotiales,Opisthokonta,21,3.428571429,3.340230959,0.728898153,1.520454903,Positive,Stimulated
17,Negative Control,unc_Helotiales,Opisthokonta,21,3.428571429,2.270934358,0.495558504,1.033716926,Positive,Stimulated
18,Antifungal,unc_Helotiales,Opisthokonta,21,4.904761905,5.048809383,1.101740532,2.298190478,Positive,Stimulated
19,Positive Control,unc_Helotiales,Opisthokonta,18,6.833333333,5.963121962,1.405521325,2.965390787,Positive,Stimulated
20,Antibacterial,unc_Helotiales,Opisthokonta,21,359.8571429,875.7179504,191.0973236,398.6220318,Positive,Stimulated
21,Antibacterial+Antifungal,unc_Mortierellales,Opisthokonta,21,0.047619048,0.21821789,0.047619048,0.099331593,Negative,Stimulated
22,Positive Control,unc_Mortierellales,Opisthokonta,18,0.277777778,0.57451315,0.135414048,0.285698668,Negative,Stimulated
23,Antifungal,unc_Mortierellales,Opisthokonta,21,0.333333333,0.966091783,0.210818511,0.439759707,Negative,Stimulated
24,Negative Control,unc_Mortierellales,Opisthokonta,21,7.476190476,15.12818247,3.301240061,6.886266098,Negative,Stimulated
25,Antibacterial,unc_Mortierellales,Opisthokonta,21,88.04761905,239.3912021,52.23944305,108.9695687,Negative,Stimulated
