"","Treatment","Genus","Phylum","N","Abundance","sd","se","ci"
"1","Positive Control","Pythium","SAR",18,1.11111111111111,1.4507153971054,0.341936898288322,0.721423794644709
"2","Antibacterial+Antifungal","Pythium","SAR",21,1.33333333333333,1.85292561462497,0.404341518387691,0.843441627568702
"3","Antibacterial","Pythium","SAR",21,2.23809523809524,2.79114245255884,0.609077217345504,1.27051281194513
"4","Antifungal","Pythium","SAR",21,2.38095238095238,3.49965984741647,0.763688388446836,1.59302606340148
"5","Negative Control","Pythium","SAR",21,4.80952380952381,4.11848330844071,0.898726738540082,1.87471112567508
"6","Negative Control","unc_LKM11","Opisthokonta",21,1.85714285714286,1.35224680756563,0.295084445425327,0.615535367013951
"7","Antibacterial","unc_LKM11","Opisthokonta",21,1.9047619047619,1.60949563232591,0.351220741230205,0.732633628127831
"8","Antibacterial+Antifungal","unc_LKM11","Opisthokonta",21,4.95238095238095,6.33621488332104,1.38267544392021,2.88421043544966
"9","Positive Control","unc_LKM11","Opisthokonta",18,5.33333333333333,6.68624575923897,1.57596323901256,3.32499179176135
"10","Antifungal","unc_LKM11","Opisthokonta",21,6.52380952380952,14.7330208973552,3.21500873702364,6.7063907080717
