Domain,Phylum,Class,Order,Family,Genus,Species,OTU
Eukaryota,Opisthokonta,Nucletmycea,Fungi,Ascobolaceae,unc_Ascobolaceae,uncultured eukaryote,New.ReferenceOTU7546
Eukaryota,Opisthokonta,Nucletmycea,Fungi,Leotiomycetes,unc_Helotiales,Holwaya mucida subsp. nipponica,New.ReferenceOTU1751
Eukaryota,Opisthokonta,Nucletmycea,Fungi,Incertae Sedis,unc_Mortierellales,Mortierella alpina,New.ReferenceOTU1052
Eukaryota,Opisthokonta,Nucletmycea,Fungi,Leotiomycetes,unc_Helotiales,Holwaya mucida subsp. nipponica,New.CleanUp.ReferenceOTU448688
Eukaryota,Opisthokonta,Nucletmycea,Fungi,Ascobolaceae,unc_Ascobolaceae,uncultured eukaryote,New.CleanUp.ReferenceOTU1057260
Eukaryota,Opisthokonta,Nucletmycea,Fungi,Incertae Sedis,unc_Mortierellales,Mortierella alpina,New.CleanUp.ReferenceOTU1472216
Eukaryota,Opisthokonta,Nucletmycea,Fungi,Incertae Sedis,unc_Mortierellales,Mortierella alpina,New.CleanUp.ReferenceOTU1858482
Eukaryota,Opisthokonta,Nucletmycea,Fungi,Nectriaceae,Nectria,Nectria cinnabarina,New.CleanUp.ReferenceOTU1892459
Eukaryota,Opisthokonta,Nucletmycea,Fungi,Ascobolaceae,unc_Ascobolaceae,uncultured eukaryote,New.CleanUp.ReferenceOTU2407954
Eukaryota,Opisthokonta,Nucletmycea,Fungi,Ascobolaceae,unc_Ascobolaceae,uncultured eukaryote,New.CleanUp.ReferenceOTU2585547
Eukaryota,Opisthokonta,Nucletmycea,Fungi,Incertae Sedis,unc_Mortierellales,Mortierella alpina,New.CleanUp.ReferenceOTU2648178
Eukaryota,Opisthokonta,Nucletmycea,Fungi,Microascaceae,Brachyconidiellopsis,Brachyconidiellopsis fimicola,New.CleanUp.ReferenceOTU2668569
Eukaryota,Opisthokonta,Nucletmycea,Fungi,Incertae Sedis,unc_Mortierellales,Mortierella alpina,New.CleanUp.ReferenceOTU2885332
