"","Treatment","Day","N","N20","sd","se","ci"
"1","Antibacterial","-1",4,0.8920044545,1.24368132418366,0.62184066209183,1.97897451754932
"2","Antibacterial","0",4,2.419454865,0.381527390376015,0.190763695188008,0.607095216933342
"3","Antibacterial","12",4,0.07748348225,0.0404684996261646,0.0202342498130823,0.0643944135578314
"4","Antibacterial","15",4,0.0768649165,0.247606079631292,0.123803039815646,0.393996526644194
"5","Antibacterial","18",4,-0.10669828425,0.236451300690319,0.11822565034516,0.376246784130717
"6","Antibacterial","21",4,0.18055898225,0.267325823535132,0.133662911767566,0.425375039708152
"7","Antibacterial","24",4,0.28247646875,0.224160564045394,0.112080282022697,0.356689479418288
"8","Antibacterial","27",4,0.30085531275,0.0784247533904504,0.0392123766952252,0.124791283335112
"9","Antibacterial","3",4,1.02330620225,4.45100243366092,2.22550121683046,7.08253812490649
"10","Antibacterial","30",4,0.66629803875,0.577845563953165,0.288922781976583,0.919481240013665
"11","Antibacterial","33",4,0.95138231575,0.737035014682215,0.368517507341108,1.17278717967007
"12","Antibacterial","35",4,1.742693873,1.57213617499657,0.786068087498284,2.50161948076034
"13","Antibacterial","36",4,2.68215358625,1.98236604833189,0.991183024165945,3.15438675311684
"14","Antibacterial","37",4,7.7763959415,6.42520246661713,3.21260123330857,10.2239309252927
"15","Antibacterial","38",4,11.338015695,6.70691425863267,3.35345712931633,10.6721972511201
"16","Antibacterial","39",4,27.8424192295,24.4430784754873,12.2215392377437,38.8943923920372
"17","Antibacterial","40",4,42.89851058,33.20348801661,16.601744008305,52.8341588804962
"18","Antibacterial","41",4,58.13694283,48.8934484004122,24.4467242002061,77.8003871072357
"19","Antibacterial","42",4,92.1468927175,64.6437975020036,32.3218987510018,102.86270725988
"20","Antibacterial","44",4,90.50115079,51.0517357446084,25.5258678723042,81.2347038993745
"21","Antibacterial","45",4,119.6574422,56.8175622622772,28.4087811311386,90.4094205484055
"22","Antibacterial","46",4,120.856901065,41.4583641180261,20.7291820590131,65.9695088552594
"23","Antibacterial","47",4,130.0807479225,42.595780135317,21.2978900676585,67.7793915561584
"24","Antibacterial","48",4,150.495451125,44.4436950823047,22.2218475411524,70.7198366039182
"25","Antibacterial","49",4,177.62085145,44.3594570209054,22.1797285104527,70.5857950502859
"26","Antibacterial","50",4,151.9130575375,67.41386794212,33.70693397106,107.270507478642
"27","Antibacterial","51",4,132.10211537,88.8377920971821,44.4188960485911,141.36075161462
"28","Antibacterial","6",4,0.214271341,0.154828975958735,0.0774144879793675,0.246367451245368
"29","Antibacterial","9",4,-0.0239387395,0.203400772304516,0.101700386152258,0.32365601815618
"30","Antibacterial+Antifungal","-1",4,3.0233461815,5.53033733490212,2.76516866745106,8.80000080921591
"31","Antibacterial+Antifungal","0",4,2.9976722375,1.70867525072886,0.854337625364431,2.71888361930589
"32","Antibacterial+Antifungal","12",4,0.261726341,0.246131464442414,0.123065732221207,0.391650084814415
"33","Antibacterial+Antifungal","15",4,0.250026254,0.168970399049858,0.084485199524929,0.268869611079267
"34","Antibacterial+Antifungal","18",4,-0.076653505,0.344220286796315,0.172110143398158,0.547731289959315
"35","Antibacterial+Antifungal","21",4,0.250475003,0.171131289455657,0.0855656447278283,0.272308069923295
"36","Antibacterial+Antifungal","24",4,0.05424015575,0.39441515997952,0.19720757998976,0.627602534312354
"37","Antibacterial+Antifungal","27",4,0.47350618075,0.238579172676643,0.119289586338322,0.379632703301213
"38","Antibacterial+Antifungal","3",4,6.62566430925,13.1367546910163,6.56837734550815,20.9035082149216
"39","Antibacterial+Antifungal","30",4,0.78397611875,0.464446903477545,0.232223451738772,0.739038665986286
"40","Antibacterial+Antifungal","33",4,1.82877592825,1.01727567743155,0.508637838715776,1.61871261054851
"41","Antibacterial+Antifungal","35",4,3.69021280425,1.4624175782179,0.731208789108952,2.32703270929076
"42","Antibacterial+Antifungal","36",4,5.4940624275,2.66767642569556,1.33383821284778,4.24486849232364
"43","Antibacterial+Antifungal","37",4,14.5181854845,5.35392646686734,2.67696323343367,8.51929175162132
"44","Antibacterial+Antifungal","38",4,13.7893655435,5.57042555731472,2.78521277865736,8.86379011686708
"45","Antibacterial+Antifungal","39",4,22.714591595,5.47322409803741,2.7366120490187,8.70912090439445
"46","Antibacterial+Antifungal","40",4,34.619420645,6.77520353336859,3.3876017666843,10.780860726157
"47","Antibacterial+Antifungal","41",4,48.3986175375,5.79865703895985,2.89932851947992,9.22695733462257
"48","Antibacterial+Antifungal","42",4,74.023285575,22.0541880165738,11.0270940082869,35.0931345846887
"49","Antibacterial+Antifungal","44",4,72.1344504375,23.5020057909354,11.7510028954677,37.3969357480593
"50","Antibacterial+Antifungal","45",4,115.9254849,29.4584934277119,14.7292467138559,46.875036784123
"51","Antibacterial+Antifungal","46",4,116.7256967175,25.457594471847,12.7287972359235,40.5087137341702
"52","Antibacterial+Antifungal","47",4,130.59647815,23.3782764560852,11.6891382280426,37.2000547657847
"53","Antibacterial+Antifungal","48",4,147.213759175,24.3892020596656,12.1946010298328,38.8086629918002
"54","Antibacterial+Antifungal","49",4,174.3571838,24.4810085857252,12.2405042928626,38.9547476616299
"55","Antibacterial+Antifungal","50",4,56.29159462,7.21279682193033,3.60639841096516,11.4771692983571
"56","Antibacterial+Antifungal","51",4,38.8347163325,7.85941568399714,3.92970784199857,12.5060842026128
