"","Treatment","Day","Phylum","N","Abundance","sd","se","ci"
"1","Negative Control","9","Acidobacteria",12,0.0285327720833333,0.0142465228659306,0.0041126169058306,0.00905180877887514
"2","Negative Control","9","Alphaproteobacteria",3,0.0892852313333333,0.0100857284640919,0.00582299804371695,0.0250543384281245
"3","Negative Control","9","Bacteroidetes",9,0.0844723331111111,0.0764889317415701,0.0254963105805234,0.0587945976311366
"4","Negative Control","9","Betaproteobacteria",3,0.100055932,0.00465295581839673,0.00268638529427879,0.0115585830195874
"5","Negative Control","9","Deltaproteobacteria",3,0.0564414473333333,0.00168290841796942,0.000971627628136132,0.00418057626649992
"6","Negative Control","9","Gammaproteobacteria",3,0.0957814426666667,0.0050559029033806,0.0029190269022634,0.0125595590692357
"7","Negative Control","9","Gemmatimonadetes",3,0.0355258893333333,0.00288636870562587,0.00166644574917361,0.0071701373516612
"8","Negative Control","9","Others",6,0.0159408166666667,0.0050850393401083,0.0020759586175407,0.00533642151378281
"9","Negative Control","9","Verrucomicrobia",11,0.0365880130909091,0.0243814381225401,0.0073512801910666,0.0163796730055526
"10","Negative Control","15","Acidobacteria",13,0.026341183,0.00808940698086962,0.00224359781981706,0.00488837971443083
"11","Negative Control","15","Alphaproteobacteria",3,0.0760939383333333,0.00696877104546636,0.00402342183902087,0.0173113869585968
"12","Negative Control","15","Bacteroidetes",9,0.0667008885555556,0.061075101426553,0.0203583671421843,0.0469464788158817
"13","Negative Control","15","Betaproteobacteria",3,0.100177597333333,0.00834160742517929,0.00481602929240145,0.0207217015815044
"14","Negative Control","15","Deltaproteobacteria",3,0.077212581,0.00427552221749285,0.00246847390319572,0.0106209859779004
"15","Negative Control","15","Gammaproteobacteria",3,0.078464316,0.00144546798269868,0.000834541328916067,0.00359074152694946
"16","Negative Control","15","Gemmatimonadetes",3,0.046771692,0.00686112606264169,0.00396127297921013,0.0170439819972813
"17","Negative Control","15","Others",8,0.016234541875,0.00525044561116862,0.00185631284795424,0.00438948237881586
"18","Negative Control","15","Verrucomicrobia",8,0.0565513835,0.0313614490529976,0.0110879466466055,0.0262188275409303
"19","Negative Control","21","Acidobacteria",8,0.025856635125,0.00712569533152372,0.00251931374479487,0.00595723037831299
"20","Negative Control","21","Actinobacteria",1,0.011140638,NA,NA,NA
"21","Negative Control","21","Alphaproteobacteria",2,0.0735961515,0.0002984450236015,0.0002110325,0.00268142215098678
"22","Negative Control","21","Bacteroidetes",6,0.0692730345,0.0620865298448617,0.0253467196699984,0.0651558171766636
"23","Negative Control","21","Betaproteobacteria",2,0.088171337,0.0130568511654031,0.009232588,0.11731115337275
"24","Negative Control","21","Deltaproteobacteria",2,0.079696279,0.00155360976478909,0.001098568,0.01395862992461
"25","Negative Control","21","Gammaproteobacteria",2,0.0844198325,0.00867786544162864,0.00613617750000001,0.0779675276125087
"26","Negative Control","21","Gemmatimonadetes",2,0.0414465,0.00932487026773467,0.006593679,0.0837806353386156
"27","Negative Control","21","Others",6,0.0142076551666667,0.00391870051272324,0.00159980278515913,0.00411242398013043
